Non_skeletal_grain|directed|Coated_grain
Non_skeletal_grain|directed|Grain_aggregate
Non_skeletal_grain|directed|Clast
#
Peloid|directed|Fecal_pellet
Peloid|directed|Mud_peloid
Peloid|directed|Mold_peloid
Peloid|directed|Bahamite_peloid
Peloid|directed|Pelletoid
Peloid|directed|Microbial_peloid
Peloid|directed|Precipitated_peloid
Peloid|directed|Algal_peloid
Peloid|directed|Bioerosional_peloid
#
Coated_grain|directed|Cortoid
Coated_grain|directed|Oncoid
Coated_grain|directed|Rhodoid
Coated_grain|directed|Macroid
Coated_grain|directed|Ooid
Coated_grain|directed|Pisoid
#
Oncoid|directed|Micrite_oncoid
Oncoid|directed|Spongiostromate_oncoid
Oncoid|directed|Porostromate_oncoid
Oncoid|directed|Foraminifera_oncoid
Oncoid|directed|Composite_oncoid
#
Ooid|directed|Concentric_ooid
Ooid|directed|Micritic_ooid
Ooid|directed|Radial_ooid
#
Grain_aggregate|directed|Grapestone
Grain_aggregate|directed|Lump
Grain_aggregate|directed|Microbial_aggregate_grain
Grain_aggregate|directed|Encrusted_aggregate_grain
#
Clast|directed|Intraclast
Clast|directed|Extraclast
#
Sedimentary_texture|directed|Average_grain_size
Sedimentary_texture|directed|Sorting
Sedimentary_texture|directed|Grain_fabric
Sedimentary_texture|directed|Roundness
#
Average_grain_size|directed|Boulder
Average_grain_size|directed|Cobble
Average_grain_size|directed|Pebble
Average_grain_size|directed|Granule
Average_grain_size|directed|Very_coarse_sand
Average_grain_size|directed|Coarse_sand
Average_grain_size|directed|Medium_sand
Average_grain_size|directed|Fine_sand
Average_grain_size|directed|Very_fine_sand
Average_grain_size|directed|Coarse_silt
Average_grain_size|directed|Mediem_silt
Average_grain_size|directed|Fine_silt
Average_grain_size|directed|Very_fine_silt
Average_grain_size|directed|Clay
#
Sorting|directed|very_well_sorted
Sorting|directed|well_sorted
Sorting|directed|moderately_well_sorted
Sorting|directed|moderately_sorted
Sorting|directed|poorly_sorted
Sorting|directed|very_poorly_sorted
#
Grain_fabric|directed|Point_contact
Grain_fabric|directed|Concavo_convex_contact
Grain_fabric|directed|Sutured_contact
Grain_fabric|directed|Preferred_orientation
#
Roundness|directed|Very_angular
Roundness|directed|Angular
Roundness|directed|Subangular
Roundness|directed|Subrounded
Roundness|directed|Rounded
Roundness|directed|Well_rounded
